SRR16124311	SRR16124311_1.fastq	pair1
SRR16124311	SRR16124311_2.fastq	pair2
SRR16124312	SRR16124312_1.fastq	pair1
SRR16124312	SRR16124312_2.fastq	pair2
SRR16124315	SRR16124315_1.fastq	pair1
SRR16124315	SRR16124315_2.fastq	pair2
SRR16124316	SRR16124316_1.fastq	pair1
SRR16124316	SRR16124316_2.fastq	pair2
SRR16124319	SRR16124319_1.fastq	pair1
SRR16124319	SRR16124319_2.fastq	pair2
SRR16124320	SRR16124320_1.fastq	pair1
SRR16124320	SRR16124320_2.fastq	pair2
SRR16124322	SRR16124322_1.fastq	pair1
SRR16124322	SRR16124322_2.fastq	pair2
SRR16124323	SRR16124323_1.fastq	pair1
SRR16124323	SRR16124323_2.fastq	pair2
